ID	Cluster
2020-10442	309
2020-10443	305
2020-10444	698
2020-10445	324
2020-10446	1088
2020-10447	112
2020-10449	133
2020-106107	1223
2020-106108	1390
2020-106109	1081
2020-106110	355
2020-106111	819
2020-106112	579
2020-106114	600
2020-106115	79
2020-106476	1406
2020-106477	1510
2020-106478	76
2020-106480	34
2020-106481	321
2020-106482	1002
2020-106483	142
2020-106484	948
2020-106485	355
2020-10928	813
2020-10932	147
2020-10936	807
2020-10937	557
2020-111058	1531
2020-111059	770
2020-111060	269
2020-111061	1109
2020-111062	1174
2020-111063	835
2020-111064	1198
2020-111066	1456
2020-111550	707
2020-111551	1165
2020-111552	348
2020-111553	500
2020-111554	529
2020-111555	1308
2020-111556	875
2020-111557	803
2020-111558	1501
2020-11300	503
2020-11301	415
2020-11303	1155
2020-11304	63
2020-11305	1503
2020-11307	177
2020-11308	1156
2020-11309	1156
2020-11310	523
2020-117029	959
2020-117030	446
2020-117031	1460
2020-117032	1384
2020-117033	647
2020-117034	348
2020-117035	1123
2020-117036	242
2020-117037	1316
2020-117038	86
2020-117040	570
2020-117041	542
2020-117042	1247
2020-117043	653
2020-117044	78
2020-117045	1404
2020-117046	765
2020-117047	710
2020-117048	743
2020-117050	918
2020-117052	110
2020-11828	143
2020-11831	252
2020-11832	386
2020-11834	408
2020-11836	286
2020-11837	609
2020-11838	252
2020-11839	727
2020-119840	269
2020-119841	73
2020-119842	81
2020-119843	928
2020-119844	875
2020-119845	211
2020-119846	343
2020-119848	1235
2020-119849	883
2020-119850	421
2020-120412	106
2020-120413	830
2020-120414	322
2020-120415	680
2020-120416	1118
2020-120417	875
2020-120418	1259
2020-120419	664
2020-120420	432
2020-120422	841
2020-120796	726
2020-120797	1171
2020-120798	392
2020-120799	1426
2020-120800	60
2020-120801	971
2020-120802	613
2020-120803	252
2020-120804	509
2020-120805	927
2020-120806	574
2020-121134	1119
2020-121135	1566
2020-121136	1212
2020-121137	1560
2020-121138	468
2020-121139	178
2020-121140	875
2020-121141	616
2020-121142	625
2020-121681	1060
2020-121682	685
2020-121683	271
2020-121684	228
2020-121685	1521
2020-121686	806
2020-121687	1301
2020-121688	207
2020-121689	435
2020-121690	2
2020-121905	332
2020-121906	348
2020-121907	687
2020-121908	678
2020-121909	1372
2020-121910	341
2020-121911	316
2020-12340	663
2020-12341	818
2020-12342	700
2020-12343	866
2020-12344	210
2020-12345	1053
2020-12346	580
2020-12347	626
2020-12348	2
2020-12349	988
2020-12710	1411
2020-12711	146
2020-12712	1533
2020-12713	1518
2020-12714	451
2020-12715	1381
2020-12716	252
2020-12717	728
2020-12718	286
2020-12719	333
2020-13101	2
2020-13105	215
2020-13106	1433
2020-13107	564
2020-13108	920
2020-13109	991
2020-13110	522
2020-13703	1463
2020-13704	481
2020-13705	1202
2020-13706	942
2020-13707	717
2020-13709	258
2020-13710	1395
2020-13711	827
2020-13712	102
2020-13713	174
2020-13714	1486
2020-13715	814
2020-13716	768
2020-13717	201
2020-13718	503
2020-13719	1006
2020-13720	1320
2020-13721	413
2020-14050	1175
2020-14052	1080
2020-14054	1550
2020-14055	404
2020-14056	1450
2020-14057	704
2020-14058	1115
2020-14059	779
2020-14061	1470
2020-14062	809
2020-14063	681
2020-14064	25
2020-14370	606
2020-14372	1191
2020-14373	1356
2020-14374	74
2020-14375	445
2020-14376	2
2020-14377	983
2020-14500	555
2020-14501	1305
2020-14502	958
2020-14503	846
2020-14504	533
2020-14505	23
2020-14506	554
2020-14507	1071
2020-14508	255
2020-14510	1218
2020-25872	284
2020-25873	900
2020-25874	1329
2020-25875	1577
2020-25876	1162
2020-25877	555
2020-25878	856
2020-25879	851
2020-25880	718
2020-25881	329
2020-25882	754
2020-25883	1378
2020-25884	560
2020-25885	1494
2020-25886	738
2020-25887	1070
2020-25888	234
2020-25889	162
2020-26365	348
2020-26366	568
2020-26367	252
2020-26368	714
2020-26369	105
2020-26370	900
2020-26372	1311
2020-26373	40
2020-26374	1140
2020-26375	293
2020-26376	972
2020-26377	252
2020-27511	92
2020-27512	865
2020-27513	583
2020-27514	451
2020-27515	252
2020-27516	138
2020-27517	810
2020-27518	54
2020-27519	584
2020-27520	1267
2020-27521	1437
2020-27522	820
2020-27523	581
2020-27524	638
2020-27525	672
2020-27892	53
2020-27894	900
2020-27895	487
2020-27896	247
2020-27897	253
2020-27898	789
2020-27899	1180
2020-27900	705
2020-27901	93
2020-28267	816
2020-28268	193
2020-28269	253
2020-28270	900
2020-28271	1227
2020-28272	634
2020-28273	1144
2020-28274	365
2020-28275	701
2020-28276	417
2020-28277	214
2020-28278	1229
2020-28279	1546
2020-28280	665
2020-28281	1222
2020-28282	1280
2020-60811	111
2020-60812	781
2020-60814	673
2020-61342	2
2020-61343	1438
2020-61344	141
2020-61345	107
2020-61346	1369
2020-61347	1214
2020-61348	1555
2020-61349	527
2020-62703	1429
2020-62704	229
2020-62705	923
2020-62706	127
2020-62707	98
2020-62709	986
2020-62710	532
2020-63346	440
2020-63347	1442
2020-63348	412
2020-63349	1578
2020-63350	964
2020-63351	661
2020-63352	1336
2020-63353	1230
2020-63354	960
2020-63911	1019
2020-63912	1409
2020-63913	1317
2020-63914	1249
2020-63915	1360
2020-63916	516
2020-63917	1240
2020-63918	981
2020-64512	1274
2020-64513	139
2020-64514	230
2020-64515	297
2020-64516	1232
2020-64517	1379
2020-64518	1355
2020-64519	847
2020-64520	636
2020-64521	1563
2020-64522	376
2020-64523	619
2020-64524	115
2020-64525	858
2020-64526	921
2020-97026	2
2020-97027	637
2020-97028	1459
2020-97030	1138
2020-97031	231
2020-97032	1532
2020-97033	1549
2020-97683	1314
2020-97684	658
2020-97685	1273
2020-97686	380
2020-97687	1430
2020-97688	355
2020-97689	342
2020-97690	767
2020-97691	629
2020-97692	211
2020-97693	1124
2020-97694	1192
2020-97695	266
2020-97696	462
2020-97697	482
2020-97698	583
2020-97699	724
2020-97700	1172
2020-97701	740
2020-97702	85
2020-97703	342
2020-97704	561
2020-97897	320
2020-97898	581
2020-97899	1387
2020-97900	619
2021-003573	1191
2021-003574	1541
2021-003575	1537
2021-003576	55
2021-003577	792
2021-003578	943
2021-003579	1157
2021-003580	259
2021-003581	38
2021-003582	1116
2021-003583	1424
2021-004567	379
2021-004568	1045
2021-004569	472
2021-004570	30
2021-004571	627
2021-004572	605
2021-004573	760
2021-004574	793
2021-004575	668
2021-004576	597
2021-004577	1188
2021-005352	1209
2021-005353	1177
2021-005354	940
2021-005355	48
2021-005356	654
2021-005357	1106
2021-005358	1337
2021-005359	1524
2021-005360	1366
2021-005361	1234
2021-005362	713
2021-005363	1508
2021-005364	1
2021-005365	385
2021-005366	101
2021-005367	652
2021-005368	600
2021-005369	359
2021-006882	1340
2021-006883	1270
2021-006885	1210
2021-006886	1447
2021-006887	895
2021-006888	1224
2021-006889	800
2021-006890	71
2021-006891	1294
2021-009916	122
2021-009918	192
2021-009919	31
2021-009920	798
2021-009921	1399
2021-009922	106
2021-017809	612
2021-017810	682
2021-017811	614
2021-017812	1038
2021-017813	415
2021-017814	1428
2021-017815	13
2021-018441	393
2021-018442	1374
2021-018443	1313
2021-018444	842
2021-018445	499
2021-018447	493
2021-018448	1358
2021-020115	1364
2021-020116	1296
2021-020117	125
2021-020118	126
2021-020119	919
2021-020120	120
