ISOLATE,collection_date,ST,cgT
2017-19400,2017-10-05,11,33
2017-19605,2017-10-08,1925,159
2017-19806,2017-10-12,1925,159
2017-19920,2017-10-10,11,58
2017-19919,2017-10-13,11,2130
2017-19895,2017-10-12,1925,159
2017-20130,2017-10-16,11,2130
2017-20086,2017-10-14,11,1245
2017-20082,2017-10-15,11,2132
2017-20238,2017-10-16,11,33
2017-20408,2017-10-17,11,33
2017-20380,2017-10-18,1975,UC
2017-20436,2017-10-18,11,135
2017-20429,2017-10-13,1925,159
2017-20629,2017-10-24,11,2165
2017-20864,2017-10-23,11,33
2017-21013,2017-10-26,11,2165
2017-21022,2017-10-25,11,33
2017-21024,2017-10-27,11,2165
2017-21167,2017-10-29,11,2220
2017-21245,2017-10-29,11,136
2017-21319,2017-11-02,11,2165
2017-21485,2017-11-03,11,136
2017-21594,2017-11-02,11,2219
2017-21592,2017-11-03,11,2165
2017-21737,2017-11-10,11,UC
2017-21735,2017-11-12,11,287
2017-22185,2017-11-15,11,758
2017-22379,2017-11-18,11,33
2017-22477,2017-11-19,1925,159
2017-22541,2017-11-20,11,58
2017-23048,2017-11-29,11,2165
2017-23028,2017-11-28,1925,159
2017-23158,2017-12-01,11,365
2017-23252,2017-12-03,1925,159
2017-23223,2017-12-02,1925,159
2017-23399,2017-12-06,1925,159
2017-23531,2017-12-01,11,2220
2017-23487,2017-12-05,11,2165
2017-23614,2017-12-05,180,2133
2017-23976,2017-12-13,1925,159
2017-23893,2017-12-12,1925,159
2017-24028,2017-12-14,11,33
2017-24545,2017-12-20,1925,159
2017-24511,2017-12-17,11,135
2017-24642,2017-12-23,1925,159
2017-24608,2017-12-19,11,135
2018-00020,2017-12-28,,2165
2018-00113,2017-12-27,11,462
2018-00110,2017-12-28,11,2220
2018-00351,2018-01-06,11,2165
2018-00616,2018-01-08,11,33
2018-00712,2018-01-10,11,2165
2018-00900,2018-01-10,1925,159
2018-00908,2018-01-12,11,462
2018-01021,2018-01-11,11,33
2018-01410,2018-01-17,11,758
2018-01533,2018-01-20,11,367
2018-01509,2018-01-20,11,2219
2018-01919,2018-01-25,11,2165
2018-01898,2018-01-27,11,1040
2018-02070,2018-01-26,11,UC
2018-02021,2018-01-28,11,287
2018-01977,2018-01-27,11,1040
2018-02261,2018-01-31,11,240
2018-02333,2018-02-02,11,287
2018-02800,2018-02-06,11,2090
2018-03024,2018-02-06,11,2219
2018-03177,2018-02-06,11,2219
2018-03303,2018-02-12,11,2219
2018-03254,2018-02-11,11,287
2018-03460,2018-02-13,11,365
2018-03761,2018-02-19,11,33
2018-03958,2018-02-19,11,2189
